"Story","Title","Result","Date","Stability","Duration (s)"
"Products crud test","This will create new product","SUCCESS","2023-01-02T16:15:01.535Z[Europe/London]","0.0","8.14"
"Stores crud test","This will create a new store","SUCCESS","2023-01-02T16:15:01.549Z[Europe/London]","0.0","8.34"
"Products crud test","Verify Product was added","SUCCESS","2023-01-02T16:15:09.715Z[Europe/London]","0.0","0.09"
"Products crud test","Verify Product was Updated","SUCCESS","2023-01-02T16:15:09.810Z[Europe/London]","0.0","0.12"
"Products crud test","Verify product was deleted","SUCCESS","2023-01-02T16:15:09.931Z[Europe/London]","0.0","0.06"
"Stores crud test","Verify store was added ","SUCCESS","2023-01-02T16:15:09.937Z[Europe/London]","0.0","0.11"
"Stores crud test","This test will Update the services information","SUCCESS","2023-01-02T16:15:10.050Z[Europe/London]","0.0","0.09"
"Stores crud test","Delete the store by ID","SUCCESS","2023-01-02T16:15:10.144Z[Europe/London]","0.0","0.05"
